dj	dj || 0
cut	abbreviate,abridge,acquire,alter,appear,be,break up,bring down,burn,castrate,change,chase,chip,contend,contract,cope,create,crop,curve,cut back,cut down,cut off,deal,decrease,demasculinise,demasculinize,design,develop,digest,dilute,discharge,disregard,disrupt,dissolve,disunite,divide,do,do away with,do by,drop,edit,edit out,eliminate,emasculate,execute,fell,flip,foreshorten,free,function,geld,get,get by,get rid of,glean,go,go across,go through,grapple,grow,hack,handle,harvest,hit,ignore,inflate,interrupt,issue,lessen,look,lop,make,make do,make out,manage,minify,miss,mix,modify,move,move through,operate,pare,part,pass,pass across,pass over,pass through,penetrate,perforate,perform,produce,prune,rationalise,rationalize,reap,record,reduce,resolve,ruffle,run,saw,seem,separate,shave,sheer,shift,shorten,shuffle,skip,slash,slew,slice,slue,snub,stop,strike down,swerve,switch,switch off,tail,tailor,tap,tape,thin,thin out,throw,transit,treat,trend,trim,trim back,trim down,turn,turn off,turn out,undercut,veer,weaken,work,write,write out || -0.172932943353
cut across	course,cover,drive,take,track || 0.0
cut apass	cross || 0.0
cut away	undercut || 0.0
cut back	crop,curb,cut,inflate,lop,poll,reduce,restrict,shave,slash,top,trim || 0.0
cut down	cut,drop,fell,inflate,log,reduce,shave,slash,trim || 0.0
cut into	dig,rout || 0.0
cut off	block,break,break up,chip,cut,inject,pause,stop || 0.0
cut out	die || 0.0
cut through	course,cover,drive,take,track || 0.0
cut up	shave || 0.0
cycle	bi bike,go across,go through,make pass,motor ride,motorbike,pass,pedal,recur,recycle,repeat,ride,wheel || 0
cypher	add,average,budget,calculate,capitalize,divide,estimate,factor,figure,fraction,gauge,guess,process,survey || 0
dally	flirt,play || 0.698805788088
damage	alter,break,bruise,change,eat,erode,hurt,mar,modify,smash,total || -0.550671035883
damp	blunt,break,check,contain,control,curb,dampen,deaden,dull,hold,hold in,moderate,muffle,mute,soften,tone down,weaken || 0
dampen	blunt,break,check,conquer,curb,damp,deaden,delay,dull,inhibit,moisten,muffle,mute,retard,soften,stamp down,stifle,subdue,suffocate,suppress,tone down,wash,weaken,wet || 0.0
dance	break,bump,grind,heel,kick,tap || 0.399051741003
dangle	droop*,drop,swing || -0.329679953964
dare	defy || 0.550671035883
darken	dim || -0.232935262696
dart	dash,flutter,plunge,shoot || 0
dash	baffle,belt along,bilk,break,bucket along,cannonball along,cast,crash,cross,dart,daunt,flash,foil,frighten away,frighten off,frustrate,hasten,hie,hotfoot,hurl,hurtle,intimidate,mix,mix in,pall,pelt along,plunge,queer,race,restrain,rush,rush along,scare,scare away,scare off,scoot,scotch,scud,shoot,smash,speed,spoil,thwart || 0
date	affiliate,associate,assort,consort,date stamp,dateline,determine,furnish,go out,go steady,provide,render,see,set,stamp,supply || 0
date back	ascend || 0.0
date from	ascend || 0.0
date stamp	date || 0.0
date-mark	dateline || 0
dateline	date,date-mark,datemark || 0
datemark	dateline || 0
daunt	dash,scare || 0
dawdle	drag,lag,linger || 0
dawn	click || 0.232935262696
day woolgather	dream || 0.0
de start	part || 0.0
de-escalate	weaken || -0.329679953964
deaden	break,damp,dampen,soften,weaken || 0.134169991054
deal	acquit,act,address,administer,allot,apportion,bear,behave,broach,care,carry,carry on,command,comport,conduct,consider,contemplate,contend,control,coordinate,cope,cover,cut,deal out,deport,discuss,dish out,dispense,distribute,divvy up,dole out,get by,give,give out,grapple,hand,hand out,handle,initiate,look at,lot,make do,make out,manage,market,match,meet,mete out,mind,move,parcel out,pass,pass on,pass out,play,plow,portion,portion out,process,push,reach,sell,share,shell out,take,think about,touch,trade,transact,treat,turn over,work || -0.10807514195
deal out	allot,deal,give,lot,portion || 0.0
debar	avert^,avoid,suspend || 0
debase	adulterate,alloy,alter,change,corrupt,debauch,demoralise,demoralize,deprave,devalue*,dilute,infect,misdirect,modify,pervert,profane,spoil,stretch,subvert,vitiate || 0.239809449005
debate	argue,consider,contend,converse,deliberate,discourse,discuss,fence,hash out,moot,oppose,scrap,see,talk over,turn over || 0.550671035883
debauch	debase,infect || 0.399051741003
debilitate	drain,waste || -0.550671035883
debit	charge || 0
debunk	expose || -0.329679953964
debut	innovate,introduce,perform,play || 0.329679953964
decamp	skip || 0.0
decant	pour || 0
decay	break,bust,crumble,deteriorate*,disintegrate,droop*,erode,gnaw,ruin*,wear,weather,wilt* || 0
decease	die,fall,go,pass,starve,stifle,succumb,suffocate,yield || -0.232935262696
deceive	hoax,pose,sell,snow || -0.698805788088
decelerate	delay,moderate,slow || -0.719428347016
decide	adjust,choose,determine,measure,order,rule,seal,settle,take,try,will || 0.329679953964
decimate	eliminate || 0
deck	dump || -0.232935262696
declare	account,acknowledge,adjudge,affirm,announce,assert,authorise,authorize,aver,avow,bless,call,cancel,clear,doom,evaluate,exclaim,hold,judge,label,pass,pass judgment,play,proclaim,promise,promulgate,pronounce,propose,say,state,suggest,swan,swear,tell,verify || 0.232935262696
declare oneself	offer,propose || 0.0
decline*	bounce,change state,come down,correct,decrease,descend,deteriorate*,diminish,dip,drop,fail,fall,go down,inflect,lessen,lose,pass up,react,refuse,reject,respond,scorn,sink,slip,slump,suffer,tumble,turn,turn down,wane,worsen* || 0.0
decoct	reduce || -0.550671035883
decompose	break up,digest,disintegrate,hang || -0.232935262696
decompress	relax,unwind || -0.172932943353
decorate	beset,flag,flight,hang,illustrate,stick,trim || 0.550671035883
decouple	differentiate,disconnect,dissociate,distinguish,do away with,eliminate,get rid of,secern,secernate,separate,severalise,severalize,tell,tell apart,uncouple || -0.329679953964
decrease	abate,alter,break,change,change magnitude,confine,contract,cut,decline*,depreciate,devaluate,devalue*,diminish,fall,flag,lessen,limit,lower,minify,minimize,modify,pare,reduce,relax,remit,shrink,slow,trim,undervalue,wane,weaken || 0
decree	reverse,rule || 0
dedicate	commit,devote,give || 0.798103482005
deduct	recoup || -0.329679953964
deed over	grant || 0.0
deem	consider,hold,reckon,regard,see,take for,view,view as || 0.232935262696
deepen	accelerate,amplify,build,change,compound,enhance,enlarge,heighten,increase,intensify,raise,speed || -0.864664716763
deface	mark || 0
defalcate	fiddle || 0.329679953964
default	default on,fail,neglect || 0.329679953964
default on	default || 0.0
defeat	beat,destroy,down,lurch,overcome,rout,subdue,survive || -0.518798830058
defecate	make || -0.550671035883
defect	desert || -0.329679953964
defend	affirm,argue,arrest,back,champion,contain,contend,endorse,fend for,fight,fight back,fight down,guard,hold,indorse,justify,keep,maintain,oppose,plump for,plunk for,prevent,protect,reason,represent,resist,stand,stop,struggle,support,withstand || -0.550671035883
defer	call,hold,postpone,remit,reprieve,submit,suspend || 0
defile	tarnish || -0.329679953964
define	determine || 0.329679953964
deflect	avert^,avoid,block || -0.550671035883
deflower	mar,ruin* || -0.232935262696
deform	batter,dent,dinge,draw,extend,point,pop,roll,start,strain,stretch,turn || 0.0
defraud	short || -0.329679953964
defy	challenge,dare,elude,endure,escape,hold,hold out,hold up,refuse,resist,stand firm,weather,withstand || 0.329679953964
degenerate	deteriorate*,drop,fade,languish,waste || -0.232935262696
degrade	cheapen,devaluate,devalue*,reduce || -0.798103482005
deject	depress || -0.864664716763
delapidate	break,bust,crumble,deteriorate*,droop*,erode,gnaw,ruin*,wear,weather,wilt* || 0
delay	alter,catch,change,check,dampen,decelerate,detain,hold back,hold off,hold up,modify,pause,postpone,remit,retard,slow,slow down,slow up,stall,stay,wait || -0.399051741003
delegate	advance,break,bump,place,post,promote^,raise,transfer || 0
delete	cancel,erase,strike || -0.329679953964
deliberate	consider,debate,see || 0.996302136284
delight	enjoy || 0.550671035883
delimit	determine || 0.329679953964
delimitate	determine || 0.329679953964
delineate	describe,determine,draw,line,outline,write || 0
deliver	bail,bear,birth,bring,bring forth,bring through,carry,carry through,cede,communicate,convey,deport,drive home,drop,emit,expect,expel,extradite,fetch,fork out,fork over,fork up,get,get in,gift,give,give birth,give up,hand,hand over,have,kick out,lamb,land,let loose,let out,mouth,pass,pass along,pass on,pitch,present,process,produce,pull through,put across,reach,redeem,relieve,render,repatriate,reprieve,rescue,return,save,sell,serve,speak,surrender,talk,throw,throw out,turn in,turn over,utter,verbalise,verbalize || 0.402509973161
deliver the goods	achieve,act,arrive,clear,hit,manage,pass,peg,reach,run,win,work || 0.0
delude	hoax,sell || -0.550671035883
deluge	flood || 0
delve	dig,rout || 0.329679953964
demand	ask,bespeak,call,call for,cite,claim,cost,draw,exact,expect,imply,involve,necessitate,need,postulate,quest,request,require,summon,summons,take,want || 0.172932943353
demasculinise	cut || 0
demasculinize	cut || 0
demean	reduce || -0.798103482005
demilitarise	neutralise || -0.329679953964
demilitarize	neutralise || -0.329679953964
demo	exhibit,present,show || 0.329679953964
demolish	destroy,smash || -0.329679953964
demonstrate	contradict,establish,evidence,exhibit,manifest,march,present,prove,reflect,show || 0.550671035883
demoralise	debase,depress,infect || -0.324225425851
demoralize	debase,depress,infect || -0.392673744445
demote	break,bump,reduce || -0.232935262696
demur	except || 0
denigrate	minimize || -0.399051741003
denominate	denominate,designate,label,number || 0
denote	advertise,announce,cry,name,post,recall,refer,report,return,state || 0
denounce	mark,shop || -0.329679953964
dent	bend,deform,in flex,turn,twist || 0
deoxidise	reduce || 0
deoxidize	reduce || 0
depart	blow,contradict,go,leave,quit,start,vary || 0.232935262696
depend	bank,be,bet,calculate,count,look,reckon,rely,swear,trust || 0
depend on	ride || 0.0
depend upon	ride || 0.0
depict	describe,draw,illustrate,outline,picture,represent,show || 0
deplete	consume,drain,drop,eat,eat up,exhaust,expend,run through,sap,spend,use up,wipe out || 0.399051741003
deploy	play || 0
deplumate	pull || -0.329679953964
deplume	pull || -0.329679953964
deport	assert,bear,behave,carry,conduct,deal,deliver,pose,repatriate || 0.399051741003
deposit	bank,bury,fasten,fix,give,lay,lodge,place,pose,posit,position,put,secure,set,situate,stick,wedge || 0
deprave	debase,infect || 0.399051741003
deprecate	belittle,depreciate,disapprove,disparage,pick at,reject,vilipend || 0.329679953964
depreciate	belittle,decrease,deprecate,devaluate,devalue*,diminish,disparage,fall,lessen,pick at,undervalue,vilipend,write down || 0
depress	alter,bring down,cast down,change,deject,demoralise,demoralize,discourage,dismay,dispirit,displace,get down,let down,lower,modify,move,press down,take down,weaken || -0.981684361111
deprive	starve || 0
depute	advance,break,bump,place,post,promote^,raise,transfer || 0
deputise	cover,substitute || -0.329679953964
deputize	cover,substitute || -0.329679953964
deracinate	displace || 0.329679953964
derail	jump || 0
deremove	scale || 0.0
derive	come,draw,gain || 0.399051741003
derogate	minimize || -0.329679953964
descend	come,correct,crash,decline*,dive,drop,fall,light,plunge,precipitate,set,settle,sink,slump,tumble || 0.0
describe	account,delineate,depict,discover,distinguish,draw,exposit,expound,identify,inform,key,key out,line,mark,name,outline,report,represent,set forth,trace,write || 0.329679953964
descry	spot || 0
desegregate	mix || 0.329679953964
desensitise	dull || -0.232935262696
desensitize	dull || -0.232935262696
desert	abandon,defect,desolate,ditch,expose,flee,fly,forsake,leave,take flight || -0.798103482005
desex	fix || 0
desexualise	fix || 0
desexualize	fix || 0
design	concert,cut,plan,project || 0.550671035883
designate	advance,break,bump,calculate,denominate,doom,fate,label,mean,number,place,post,promote^,raise,transfer || 0
desire	ambition,hope,itch,like,long,miss,seek,starve,trust,want || 0
desist	avoid || 0
desolate	abandon,desert,ditch,expose,ruin*,waste || -0.996302136284
despise	scorn || -0.698805788088
despoil	destroy,foray,loot,pillage,plunder,ransack,rape,reave,rifle,ruin*,spoil,strip,take,violate || -0.232935262696
destine	calculate,doom,fate,mean || 0.329679953964
destroy	break,break up,bust,defeat,demolish,despoil,destruct,eliminate,end,get,get the better of,kill,level,overcome,ruin*,smash,undo,unmake,waste || -0.550671035883
destruct	break up,destroy,eliminate,end,level || -0.329679953964
detach	break || -0.239809449005
detain	catch,confine,delay,keep,lag,stall,stay,trap || -0.232935262696
detect	find,see,sense || 0.550671035883
deteriorate*	crumble,decay,decline*,degenerate,delapidate,devolve,drop,fade,languish,waste,wear,worsen* || 0.0
determine	ascertain,cause,charge,check,choose,clear,concert,conclude,count,date,decide,define,delimit,delimitate,delineate,do,find,find out,fix,gauge,incline,index,influence,learn,limit,make,make up one's mind,measure,mold,name,narrow,number,order,pick out,place,price,regulate,resolve,rule,seal,see,select,set,settle,shape,specify,square off,square up,take,test,time,translate,try,value,watch,will || 0.399051741003
detest	scorn || -0.864664716763
devaluate	cheapen,decrease,degrade,depreciate,devalue*,diminish,fall,lessen,undervalue || 0
devalue*	alter,change,cheapen,debase,decrease,degrade,depreciate,devaluate,diminish,fall,lessen,lower,modify,undervalue || 0.0
devastate	ruin*,waste || -0.698805788088
develop	acquire,advance,alter,ameliorate,amend,arise,become,better,break,bring forth,build,build up,change,come,come about,complicate*,condition,conjecture,create,create by mental act,create mentally,cut,discipline,educate,elaborate,emerge,evolve,expand,explicate,fall out,follow,formulate,generate,germinate,get,go on,grow,hap,happen,head,hypothecate,hypothesise,hypothesize,improve,instruct,lay over,learn,make,make grow,mature,meliorate,modernise,modernize,modify,occur,originate,pass,pass off,play,prepare,produce,progress,rarify,recrudesce,refine,rise,settle,speculate,spike,spring up,stock,superimpose,superpose,suppose,swell,take place,teach,theorise,theorize,train,uprise || 0.799731629898
deviate	contradict,divert,vary || -0.698805788088
devil	beset,bother,get,plague,provoke || 0
devise	forge,mount,sandwich || 0.550671035883
devitalise	eviscerate || 0
devitalize	eviscerate || 0
devolve	deteriorate*,drop,fade,fall,languish,light,pass,return,waste || -0.329679953964
devolve on	ride || 0.0
devote	apply,cerebrate,cogitate,commit,consecrate,dedicate,employ,give,pay,reserve,think,use,utilise,utilize || 0.550671035883
devour	down || -0.550671035883
di cavort	sport || 0.0
diagnose	explore,name || 0
diagram	graph || 0
dictate	bring down,govern,impose,inflict,order,prescribe,read,rule,visit || 0
didder	shake || 0
diddle	fiddle,play,short || -0.329679953964
die	ache,become flat,blow,break,break down,buy the farm,cash in one's chips,change,change state,choke,conk,conk out,crash,croak,cut out,decease,die,die out,disappear,drop dead,endure,exit,experience,expire,fail,fall,feel,give out,give way,give-up the ghost,go,go away,go bad,kick the bucket,languish,lose it,pall,pass,pass away,perish,pine,play,pop off,snap,snuff it,starve,stifle,succumb,suffer,suffocate,turn,vanish,yearn,yen,yield || -0.535491080697
die away	abate || 0.0
die hard	endure,persist,prevail,run || 0.0
